code_tvs,annee,nb_morts,nb_morts_jeunes,nb_morts_vieux,age_moyen_deces,libelle_tvs
01004,2004,175,23,98,77.36,Ambérieu-en-Bugey
01004,2005,211,23,121,78.98151658767773,Ambérieu-en-Bugey
01004,2006,224,28,120,77.12857142857143,Ambérieu-en-Bugey
01004,2007,214,29,116,77.146261682243,Ambérieu-en-Bugey
01004,2008,234,33,135,76.51153846153846,Ambérieu-en-Bugey
01004,2009,242,31,164,79.57561983471075,Ambérieu-en-Bugey
01004,2010,223,21,155,81.09775784753363,Ambérieu-en-Bugey
01004,2011,222,34,131,78.95225225225225,Ambérieu-en-Bugey
01004,2012,299,33,203,81.18327759197325,Ambérieu-en-Bugey
01004,2013,286,26,194,81.74125874125875,Ambérieu-en-Bugey
01004,2014,274,26,191,81.41058394160584,Ambérieu-en-Bugey
01004,2015,277,17,204,83.62599277978339,Ambérieu-en-Bugey
01004,2016,307,22,219,82.30260586319218,Ambérieu-en-Bugey
01004,2017,313,29,219,81.93418530351438,Ambérieu-en-Bugey
01004,2018,295,21,222,83.54576271186441,Ambérieu-en-Bugey
01004,2019,313,12,226,84.29169329073483,Ambérieu-en-Bugey
01033,2004,64,16,30,72.671875,Valserhône
01033,2005,74,22,32,70.85675675675675,Valserhône
01033,2006,95,23,50,73.39157894736842,Valserhône
01033,2007,72,10,42,79.00138888888888,Valserhône
01033,2008,77,15,48,76.93116883116883,Valserhône
01033,2009,84,14,47,77.20476190476191,Valserhône
01033,2010,91,16,47,76.47912087912088,Valserhône
01033,2011,81,14,53,77.92345679012345,Valserhône
01033,2012,84,12,49,78.30952380952381,Valserhône
01033,2013,87,11,54,79.5896551724138,Valserhône
01033,2014,77,14,54,78.94285714285714,Valserhône
01033,2015,82,13,48,77.95,Valserhône
01033,2016,84,14,55,80.00357142857143,Valserhône
01033,2017,90,13,53,78.37,Valserhône
01033,2018,99,16,64,78.62222222222222,Valserhône
01033,2019,92,11,54,79.575,Valserhône
01034,2004,445,41,246,79.30134831460674,Belley
01034,2005,477,55,261,78.68721174004193,Belley
01034,2006,385,38,215,78.5548051948052,Belley
01034,2007,388,46,231,78.89690721649484,Belley
01034,2008,385,30,253,80.66857142857143,Belley
01034,2009,385,41,227,79.57558441558442,Belley
01034,2010,360,36,233,80.03361111111111,Belley
01034,2011,330,34,205,79.70787878787878,Belley
01034,2012,345,31,222,80.65333333333334,Belley
01034,2013,376,30,256,80.98829787234042,Belley
01034,2014,354,24,235,81.28107344632768,Belley
01034,2015,322,23,222,82.56987577639751,Belley
01034,2016,376,27,248,81.76143617021276,Belley
01034,2017,388,27,271,83.00231958762886,Belley
01034,2018,361,21,251,82.74349030470914,Belley
01034,2019,365,26,254,82.86383561643835,Belley
01043,2004,31,6,16,74.7,Beynost
01043,2005,27,5,13,75.3,Beynost
01043,2006,24,9,11,69.36666666666667,Beynost
01043,2007,28,4,13,74.38571428571429,Beynost
01043,2008,31,14,11,67.43548387096774,Beynost
01043,2009,22,5,8,71.55454545454545,Beynost
01043,2010,29,6,11,75.15862068965517,Beynost
01043,2011,27,6,13,71.73703703703704,Beynost
01043,2012,19,2,9,76.96315789473684,Beynost
01043,2013,32,5,18,78.20625,Beynost
01043,2014,28,7,11,72.36428571428571,Beynost
01043,2015,33,3,21,82.37878787878788,Beynost
01043,2016,45,5,27,79.36444444444444,Beynost
01043,2017,27,3,16,78.62962962962963,Beynost
01043,2018,32,4,19,80.378125,Beynost
01043,2019,36,2,21,81.18888888888888,Beynost
01053,2004,387,51,222,78.5359173126615,Bourg-en-Bresse
01053,2005,449,46,244,79.25501113585746,Bourg-en-Bresse
01053,2006,436,51,250,79.33463302752294,Bourg-en-Bresse
01053,2007,443,52,239,78.28893905191873,Bourg-en-Bresse
01053,2008,463,50,277,79.80151187904967,Bourg-en-Bresse
01053,2009,489,48,294,79.619836400818,Bourg-en-Bresse
01053,2010,529,64,319,79.33818525519848,Bourg-en-Bresse
01053,2011,565,66,327,79.23610619469027,Bourg-en-Bresse
01053,2012,608,47,388,80.66167763157895,Bourg-en-Bresse
01053,2013,589,46,378,81.06621392190152,Bourg-en-Bresse
01053,2014,563,52,351,79.79769094138544,Bourg-en-Bresse
01053,2015,537,54,331,80.24692737430168,Bourg-en-Bresse
01053,2016,554,51,356,80.66407942238267,Bourg-en-Bresse
01053,2017,629,43,425,82.09109697933228,Bourg-en-Bresse
01053,2018,577,42,385,81.72980935875216,Bourg-en-Bresse
01053,2019,550,46,354,81.966,Bourg-en-Bresse
01093,2004,79,6,52,82.3873417721519,Châtillon-sur-Chalaronne
01093,2005,100,12,66,81.034,Châtillon-sur-Chalaronne
01093,2006,87,5,61,84.12183908045976,Châtillon-sur-Chalaronne
01093,2007,80,5,65,85.2125,Châtillon-sur-Chalaronne
01093,2008,95,9,67,82.8621052631579,Châtillon-sur-Chalaronne
01093,2009,82,3,62,84.85609756097561,Châtillon-sur-Chalaronne
01093,2010,82,8,63,82.85,Châtillon-sur-Chalaronne
01093,2011,82,5,67,85.72073170731707,Châtillon-sur-Chalaronne
01093,2012,85,4,66,85.95764705882353,Châtillon-sur-Chalaronne
01093,2013,87,7,68,83.97701149425288,Châtillon-sur-Chalaronne
01093,2014,95,6,74,84.58736842105263,Châtillon-sur-Chalaronne
01093,2015,98,9,74,84.4765306122449,Châtillon-sur-Chalaronne
01093,2016,125,9,98,85.0272,Châtillon-sur-Chalaronne
01093,2017,130,8,108,86.40846153846154,Châtillon-sur-Chalaronne
01093,2018,108,5,89,86.55555555555556,Châtillon-sur-Chalaronne
01093,2019,127,4,100,85.66535433070867,Châtillon-sur-Chalaronne
01134,2004,41,5,25,80.94634146341464,Crottet
01134,2005,60,8,47,83.79333333333334,Crottet
01134,2006,67,6,45,81.70298507462687,Crottet
01134,2007,53,6,37,81.83207547169812,Crottet
01134,2008,51,6,33,81.52352941176471,Crottet
01134,2009,49,5,33,82.0530612244898,Crottet
01134,2010,74,6,56,84.19864864864864,Crottet
01134,2011,65,1,48,84.26615384615384,Crottet
01134,2012,56,0,45,85.44107142857143,Crottet
01134,2013,73,5,51,82.24657534246576,Crottet
01134,2014,84,3,59,83.55119047619047,Crottet
01134,2015,91,1,75,87.38791208791208,Crottet
01134,2016,78,2,56,84.50256410256411,Crottet
01134,2017,67,2,54,85.59701492537313,Crottet
01134,2018,72,5,52,82.64583333333333,Crottet
01134,2019,69,5,51,82.61304347826086,Crottet
01143,2004,15,4,5,68.86,Divonne-les-Bains
01143,2005,7,2,2,67.01428571428572,Divonne-les-Bains
01143,2006,12,5,5,69.80833333333334,Divonne-les-Bains
01143,2007,10,7,1,50.21,Divonne-les-Bains
01143,2008,14,3,4,73.07857142857144,Divonne-les-Bains
01143,2009,11,2,4,72.42727272727272,Divonne-les-Bains
01143,2010,19,2,9,79.66842105263157,Divonne-les-Bains
01143,2011,6,0,4,78.78333333333333,Divonne-les-Bains
01143,2012,12,3,4,72.525,Divonne-les-Bains
01143,2013,14,3,8,76.30714285714285,Divonne-les-Bains
01143,2014,17,2,8,78.85882352941177,Divonne-les-Bains
01143,2015,21,3,9,75.37619047619047,Divonne-les-Bains
01143,2016,21,2,11,81.38571428571429,Divonne-les-Bains
01143,2017,27,5,17,79.32962962962964,Divonne-les-Bains
01143,2018,20,2,15,84.38,Divonne-les-Bains
01143,2019,22,2,14,80.57727272727273,Divonne-les-Bains
01160,2004,16,6,5,67.8875,Ferney-Voltaire
01160,2005,19,6,4,65.77368421052631,Ferney-Voltaire
01160,2006,18,8,7,63.605555555555554,Ferney-Voltaire
01160,2007,13,4,2,66.36923076923077,Ferney-Voltaire
01160,2008,28,8,11,69.42857142857143,Ferney-Voltaire
01160,2009,23,7,9,69.51739130434783,Ferney-Voltaire
01160,2010,29,7,15,75.51034482758621,Ferney-Voltaire
01160,2011,18,2,13,79.92222222222222,Ferney-Voltaire
01160,2012,33,9,17,75.04848484848485,Ferney-Voltaire
01160,2013,33,5,18,76.21212121212122,Ferney-Voltaire
01160,2014,28,9,13,71.19642857142857,Ferney-Voltaire
01160,2015,35,6,20,78.51714285714286,Ferney-Voltaire
01160,2016,30,5,15,76.25,Ferney-Voltaire
01160,2017,32,7,20,75.471875,Ferney-Voltaire
01160,2018,20,6,8,65.74,Ferney-Voltaire
01160,2019,34,4,21,80.3970588235294,Ferney-Voltaire
01173,2004,73,9,45,80.22054794520548,Gex
01173,2005,63,5,43,82.0936507936508,Gex
01173,2006,68,6,55,83.23529411764706,Gex
01173,2007,62,9,42,81.54516129032258,Gex
01173,2008,88,9,51,80.1034090909091,Gex
01173,2009,73,16,43,75.71095890410959,Gex
01173,2010,75,12,50,79.04666666666667,Gex
01173,2011,77,6,50,82.04675324675324,Gex
01173,2012,80,8,54,80.71375,Gex
01173,2013,89,11,55,78.9056179775281,Gex
01173,2014,73,6,54,83.4958904109589,Gex
01173,2015,94,8,67,82.83829787234042,Gex
01173,2016,76,12,49,79.66447368421052,Gex
01173,2017,85,3,59,83.85529411764706,Gex
01173,2018,92,11,60,81.19130434782609,Gex
01173,2019,87,10,64,81.8183908045977,Gex
01185,2004,190,39,65,72.67315789473685,Plateau d'Hauteville
01185,2005,186,31,73,74.90161290322581,Plateau d'Hauteville
01185,2006,158,24,67,75.47025316455696,Plateau d'Hauteville
01185,2007,183,34,69,73.65409836065574,Plateau d'Hauteville
