code_tvs,annee,nb_medecins
01004,2004,32
01004,2005,40
01004,2006,36
01004,2007,40
01004,2008,36
01004,2009,38
01004,2010,37
01004,2011,40
01004,2012,44
01004,2013,44
01004,2014,44
01004,2015,45
01004,2016,39
01004,2017,44
01004,2018,43
01004,2019,45
01033,2004,18
01033,2005,19
01033,2006,19
01033,2007,20
01033,2008,20
01033,2009,20
01033,2010,19
01033,2011,20
01033,2012,20
01033,2013,21
01033,2014,19
01033,2015,17
01033,2016,18
01033,2017,17
01033,2018,17
01033,2019,17
01034,2004,31
01034,2005,30
01034,2006,31
01034,2007,32
01034,2008,33
01034,2009,31
01034,2010,30
01034,2011,30
01034,2012,30
01034,2013,29
01034,2014,28
01034,2015,30
01034,2016,30
01034,2017,32
01034,2018,32
01034,2019,30
01043,2004,12
01043,2005,12
01043,2006,12
01043,2007,12
01043,2008,13
01043,2009,13
01043,2010,13
01043,2011,13
01043,2012,13
01043,2013,13
01043,2014,12
01043,2015,12
01043,2016,12
01043,2017,13
01043,2018,14
01043,2019,14
01053,2004,60
01053,2005,69
01053,2006,68
01053,2007,68
01053,2008,63
01053,2009,64
01053,2010,63
01053,2011,63
01053,2012,62
01053,2013,60
01053,2014,59
01053,2015,54
01053,2016,59
01053,2017,64
01053,2018,65
01053,2019,64
01093,2004,9
01093,2005,9
01093,2006,9
01093,2007,10
01093,2008,10
01093,2009,9
01093,2010,9
01093,2011,9
01093,2012,9
01093,2013,10
01093,2014,9
01093,2015,9
01093,2016,9
01093,2017,10
01093,2018,11
01093,2019,10
01134,2004,5
01134,2005,5
01134,2006,5
01134,2007,5
01134,2008,5
01134,2009,5
01134,2010,5
01134,2011,5
01134,2012,5
01134,2013,5
01134,2014,5
01134,2015,5
01134,2016,5
01134,2017,5
01134,2018,5
01134,2019,5
01143,2004,8
01143,2005,8
01143,2006,9
01143,2007,10
01143,2008,11
01143,2009,11
01143,2010,11
01143,2011,12
01143,2012,11
01143,2013,10
01143,2014,9
01143,2015,10
01143,2016,10
01143,2017,10
01143,2018,9
01143,2019,9
01160,2004,19
01160,2005,18
01160,2006,19
01160,2007,19
01160,2008,20
01160,2009,19
01160,2010,19
01160,2011,18
01160,2012,17
01160,2013,15
01160,2014,15
01160,2015,14
01160,2016,15
01160,2017,15
01160,2018,13
01160,2019,14
01173,2004,11
01173,2005,12
01173,2006,12
01173,2007,12
01173,2008,12
01173,2009,11
01173,2010,12
01173,2011,11
01173,2012,12
01173,2013,13
01173,2014,13
01173,2015,15
01173,2016,16
01173,2017,14
01173,2018,16
01173,2019,15
01185,2004,9
01185,2005,10
01185,2006,7
01185,2007,7
01185,2008,7
01185,2009,7
01185,2010,7
01185,2011,7
01185,2012,6
01185,2013,6
01185,2014,6
01185,2015,4
01185,2016,4
01185,2017,4
01185,2018,4
01185,2019,4
01194,2004,12
01194,2005,12
01194,2006,12
01194,2007,13
01194,2008,12
01194,2009,12
01194,2010,12
01194,2011,12
01194,2012,12
01194,2013,12
01194,2014,12
01194,2015,13
01194,2016,13
01194,2017,13
01194,2018,13
01194,2019,14
01202,2004,10
01202,2005,10
01202,2006,10
01202,2007,9
01202,2008,9
01202,2009,8
01202,2010,8
01202,2011,9
01202,2012,9
01202,2013,8
01202,2014,8
01202,2015,8
01202,2016,10
01202,2017,10
01202,2018,10
01202,2019,10
01244,2004,17
01244,2005,16
01244,2006,17
01244,2007,17
01244,2008,18
01244,2009,18
01244,2010,18
01244,2011,16
01244,2012,17
01244,2013,17
01244,2014,18
01244,2015,17
01244,2016,17
01244,2017,15
01244,2018,16
01244,2019,18
01249,2004,6
01249,2005,6
01249,2006,6
01249,2007,6
01249,2008,6
01249,2009,7
01249,2010,7
01249,2011,7
01249,2012,7
01249,2013,7
01249,2014,7
01249,2015,7
01249,2016,7
01249,2017,6
01249,2018,6
01249,2019,8
01262,2004,9
01262,2005,9
01262,2006,9
01262,2007,9
01262,2008,9
01262,2009,9
01262,2010,9
01262,2011,9
01262,2012,8
01262,2013,8
01262,2014,8
01262,2015,8
01262,2016,8
01262,2017,8
01262,2018,8
01262,2019,8
01266,2004,15
01266,2005,15
01266,2006,15
01266,2007,15
01266,2008,16
01266,2009,16
01266,2010,17
01266,2011,17
01266,2012,15
01266,2013,16
01266,2014,15
01266,2015,15
01266,2016,15
01266,2017,14
01266,2018,14
01266,2019,14
01269,2004,12
01269,2005,12
01269,2006,12
01269,2007,11
01269,2008,11
01269,2009,11
01269,2010,11
01269,2011,12
01269,2012,11
01269,2013,12
01269,2014,12
01269,2015,10
01269,2016,10
01269,2017,10
01269,2018,10
01269,2019,10
01283,2004,32
01283,2005,34
01283,2006,33
01283,2007,33
01283,2008,33
01283,2009,33
01283,2010,33
01283,2011,34
01283,2012,34
01283,2013,30
01283,2014,30
01283,2015,31
01283,2016,31
01283,2017,30
01283,2018,28
01283,2019,25
01289,2004,12
01289,2005,11
01289,2006,12
01289,2007,11
01289,2008,13
01289,2009,13
01289,2010,13
01289,2011,12
01289,2012,13
01289,2013,13
01289,2014,13
01289,2015,13
01289,2016,13
01289,2017,12
01289,2018,12
01289,2019,12
01305,2004,14
01305,2005,16
01305,2006,17
01305,2007,18
01305,2008,18
01305,2009,19
01305,2010,18
01305,2011,17
01305,2012,22
01305,2013,22
01305,2014,21
01305,2015,22
01305,2016,20
01305,2017,18
01305,2018,17
01305,2019,16
01333,2004,6
01333,2005,6
01333,2006,6
01333,2007,5
01333,2008,5
01333,2009,6
01333,2010,5
01333,2011,6
01333,2012,6
01333,2013,7
01333,2014,7
