code_tvs,annee,nb_menages_tot,med_niveau_vie
01004,2004,15418,15929.75395641458
01004,2005,15748,16523.67808610617
01004,2006,15992,17136.733304152076
01004,2007,16647,17712.845137261967
01004,2008,17205,18368.811014240047
01004,2009,17586,18402.975378141702
01004,2010,17792,18901.897959757192
01004,2011,18217,19421.09246857331
01004,2012,18207,20002.926528503293
01004,2013,18547,20356.94002283852
01004,2014,18742,20564.050912669405
01004,2015,18984,20783.381542622705
01004,2016,19332,20883.365560774113
01004,2017,19620,21145.890927624874
01004,2018,19685,21808.756413512827
01004,2019,20097,21880.41399213813
01033,2004,9064,16023.087047661076
01033,2005,9332,16546.036915988
01033,2006,9422,17212.643016344726
01033,2007,9844,17978.841629418934
01033,2008,10077,18917.923786841322
01033,2009,10336,19189.63980263158
01033,2010,10489,20005.659738773953
01033,2011,10773,21230.336814257866
01033,2012,10792,22171.564784444425
01033,2013,10930,22679.88463099018
01033,2014,10996,23021.003648837148
01033,2015,10902,23494.067186763376
01033,2016,10901,24296.35776937541
01033,2017,11018,24343.613178435287
01033,2018,10875,25047.401379310344
01033,2019,11285,25231.49844926894
01034,2004,10558,15429.817010797498
01034,2005,10767,15904.565710039937
01034,2006,10982,16560.484474594792
01034,2007,11462,17003.895088117257
01034,2008,11891,17657.982213438736
01034,2009,11968,17780.256559157755
01034,2010,12199,18126.21956717764
01034,2011,12366,18631.964216399807
01034,2012,12502,19453.924069021843
01034,2013,12530,19843.314727486755
01034,2014,12758,19912.814989485876
01034,2015,12746,20169.56064663623
01034,2016,12915,20396.068709313764
01034,2017,12912,20786.095105328375
01034,2018,12927,21341.380830819216
01034,2019,13207,21529.3511016885
01043,2004,5122,18327.1851815697
01043,2005,5072,18946.056782334384
01043,2006,5199,19757.849490286593
01043,2007,5354,20666.784086664178
01043,2008,5409,21380.570900351264
01043,2009,5485,21644.18960802188
01043,2010,5574,22312.449407965556
01043,2011,5662,22842.000706464147
01043,2012,5721,23003.520928813505
01043,2013,5842,23396.125813077702
01043,2014,5892,23684.74618126273
01043,2015,5939,24079.60827683241
01043,2016,6065,24308.52025281671
01043,2017,6209,24728.03672088903
01043,2018,6145,25659.292107404395
01043,2019,6311,25694.224370147364
01053,2004,21691,15399.197362961597
01053,2005,21896,15973.922953964195
01053,2006,21902,16422.297689708703
01053,2007,22531,16970.231836136878
01053,2008,22587,17455.852215876388
01053,2009,22652,17593.43598799223
01053,2010,22771,17891.077466953582
01053,2011,23060,18195.1302254987
01053,2012,23205,18610.395029863783
01053,2013,23547,18976.17901135501
01053,2014,23796,19044.663360739232
01053,2015,23934,19130.294286723554
01053,2016,23981,19243.776338933636
01053,2017,23957,19530.03422799182
01053,2018,23906,20218.17744499289
01053,2019,24065,20353.376272595055
01093,2004,4556,16193.9905618964
01093,2005,4651,16707.77370457966
01093,2006,4782,17291.163948138856
01093,2007,4945,17990.53225480283
01093,2008,5008,18579.079173322683
01093,2009,5040,18823.901686507936
01093,2010,5091,19358.638970732667
01093,2011,5145,19813.242371234206
01093,2012,5182,20342.42599880563
01093,2013,5214,20830.51492928076
01093,2014,5269,20993.854940848993
01093,2015,5332,21246.106771656283
01093,2016,5395,21522.716183562086
01093,2017,5455,22099.767186067827
01093,2018,5536,22779.069725433525
01093,2019,5599,22701.991427040546
01134,2004,2979,16058.024001342732
01134,2005,3073,16464.51155222909
01134,2006,3076,17177.941482444734
01134,2007,3259,18034.36054004296
01134,2008,3329,18765.351907479722
01134,2009,3440,18855.544912790698
01134,2010,3476,19292.407364787112
01134,2011,3508,19963.41676168757
01134,2012,3588,20498.395902870838
01134,2013,3627,20793.78977772526
01134,2014,3650,21053.246544209214
01134,2015,3674,21311.197192483934
01134,2016,3677,21648.368668816453
01134,2017,3722,22088.74529822676
01134,2018,3727,22764.821572310168
01134,2019,3833,22798.49726063136
01143,2004,3110,24203.707395498393
01143,2005,3275,24987.540152671754
01143,2006,3345,25614.771300448432
01143,2007,3570,26967.2268907563
01143,2008,3686,29099.979110146498
01143,2009,3745,31455.89132176235
01143,2010,3763,34380.05102311986
01143,2011,3815,38099.04508519004
01143,2012,3815,39531.280821319364
01143,2013,3831,39499.80892717309
01143,2014,3872,40226.34555785124
01143,2015,3980,42022.006783919605
01143,2016,3925,43444.15932059448
01143,2017,4094,42315.28578407426
01143,2018,4122,43423.86705482775
01143,2019,4348,45160.49678012879
01160,2004,5733,18566.626722483867
01160,2005,5930,19130.71770657673
01160,2006,6086,19982.545185672036
01160,2007,6418,20407.07463384232
01160,2008,6582,22701.13612883622
01160,2009,6864,23337.019959207457
01160,2010,7294,25405.97964080066
01160,2011,7728,27574.62694099379
01160,2012,7580,31358.49664530719
01160,2013,7249,30774.672987609225
01160,2014,7182,31099.648923897043
01160,2015,7294,31930.160680010966
01160,2016,7095,33144.310291071386
01160,2017,7374,32477.743422836997
01160,2018,7569,34002.530056810676
01160,2019,8097,34014.96727182907
01173,2004,6696,21411.796968339306
01173,2005,6981,21849.899011602924
01173,2006,7134,22779.62391365293
01173,2007,7525,23179.304053156146
01173,2008,7864,25237.044188708038
01173,2009,8315,26996.967949488877
01173,2010,8459,28976.624541908026
01173,2011,8765,31629.56771249287
01173,2012,8878,32654.20070154925
01173,2013,8916,32695.492675019756
01173,2014,9035,32883.1666722436
01173,2015,9409,34274.21936949931
01173,2016,9397,35709.63638834414
01173,2017,9677,34936.71592435672
01173,2018,9588,36219.31268251982
01173,2019,10007,36415.20235834916
01185,2004,3874,15829.655136809499
01185,2005,3891,16402.4899768697
01185,2006,3931,17142.8449503943
01185,2007,4040,17420.785148514853
01185,2008,4110,18154.733090024332
01185,2009,4139,18125.91012321817
01185,2010,4140,18659.698309178744
01185,2011,4161,19186.95565969719
01185,2012,4151,19733.857794161086
01185,2013,4079,20194.3751528012
01185,2014,4127,20279.552989555064
01185,2015,4117,20667.818057857723
01185,2016,4165,20775.827424681323
01185,2017,4138,21271.25906234896
01185,2018,4119,21951.891235736828
01185,2019,4159,22004.936282760278
01194,2004,5319,17455.271667606692
01194,2005,5342,18068.150224634966
01194,2006,5440,18737.635477941178
01194,2007,5694,19386.869599578502
01194,2008,5762,20468.586601874347
01194,2009,5863,20513.208425720622
01194,2010,6055,21055.09298100743
01194,2011,6209,21751.84135931712
01194,2012,6266,22037.96589049494
01194,2013,6398,22372.920231597083
01194,2014,6510,22548.052792041548
01194,2015,6647,22712.138638746208
01194,2016,6759,22890.108130760043
01194,2017,6879,23299.087076609972
01194,2018,7000,24082.181428571428
01194,2019,7159,24122.91102109233
01202,2004,5150,16582.299611650484
01202,2005,5299,16982.638327986413
01202,2006,5420,17492.157195571956
01202,2007,5631,18185.234683004797
01202,2008,5799,19125.993447146062
01202,2009,5937,19208.150075795857
01202,2010,6016,19746.00581781915
01202,2011,6116,20470.76438848921
01202,2012,6142,21012.129974867687
01202,2013,6257,21449.237722829792
01202,2014,6333,21623.678813170616
01202,2015,6471,21983.79039641787
01202,2016,6526,22343.40174783163
01202,2017,6672,22806.164568345324
01202,2018,6771,23366.898537882145
01202,2019,6950,23411.78417266187
01244,2004,8101,17732.77879274164
01244,2005,8322,18375.471040615237
01244,2006,8512,19071.71252349624
01244,2007,8986,19665.496383262853
01244,2008,9090,20611.423542354234
01244,2009,9319,20772.670887434277
01244,2010,9461,21607.380403762814
01244,2011,9671,22134.91190156137
01244,2012,9748,22619.67711051715
01244,2013,9876,22928.803974417337
01244,2014,10020,23102.630596426196
01244,2015,10140,23245.062635993578
01244,2016,10315,23635.343941254217
01244,2017,10558,24029.49990528509
01244,2018,10728,24728.511372110366
01244,2019,10951,24763.227102547713
01249,2004,3835,18351.48187744459
01249,2005,3831,19194.71939441399
01249,2006,3864,19795.446169772255
01249,2007,4078,20625.06179499755
01249,2008,4094,21074.128480703468
01249,2009,4095,21407.120634920637
01249,2010,4178,21980.84705600766
01249,2011,4242,22519.141914191416
01249,2012,4275,22893.057644110282
01249,2013,4299,23397.42498255411
01249,2014,4319,23686.159490790113
01249,2015,4362,24003.218838016634
01249,2016,4409,24602.264610266873
01249,2017,4412,25107.60652765186
01249,2018,4431,25641.121642969985
01249,2019,4605,25609.511400651467
01262,2004,5275,16746.843791469193
01262,2005,5303,17252.70064114652
01262,2006,5413,17970.769905782374
01262,2007,5732,18584.13258897418
01262,2008,5842,19035.74375213968
01262,2009,5913,19163.247674615253
01262,2010,6114,19876.271671573435
01262,2011,6215,20373.722928399035
01262,2012,6309,21024.12762278667
01262,2013,6353,21129.489101511845
01262,2014,6465,21455.839424581158
01262,2015,6569,21712.16578190691
01262,2016,6637,22090.118182667527
01262,2017,6646,22753.832380379175
01262,2018,6645,23579.98946576373
01262,2019,6821,23641.992376484388
01266,2004,7282,15558.890758033507
01266,2005,7474,16091.845129783249
01266,2006,7642,16697.625163569744
01266,2007,8023,17502.206032656115
01266,2008,8265,18295.797761645492
01266,2009,8375,18369.530746268658
01266,2010,8476,18715.217496460595
01266,2011,8678,19203.498041023275
01266,2012,8807,19988.191221643126
01266,2013,8940,20399.03478781348
01266,2014,9068,20658.635486134513
01266,2015,9144,20864.77070045363
01266,2016,9211,21212.604985326376
01266,2017,9327,21561.062506700975
01266,2018,9414,22346.874867219034
01266,2019,9531,22329.549889833175
01269,2004,5916,15308.22599729547
01269,2005,5922,15846.000675447483
01269,2006,5971,16292.953274158432
01269,2007,6193,16687.858469239465
01269,2008,6245,17231.887590072056
01269,2009,6222,17086.889987142396
01269,2010,6213,17373.450185095768
01269,2011,6267,18077.034147119834
01269,2012,6228,18935.008446717748
01269,2013,6295,19257.73934443848
01269,2014,6307,19488.478457319903
01269,2015,6322,19702.377521512077
01269,2016,6303,20170.333583030944
01269,2017,6380,20475.144200626957
01269,2018,6444,21296.85754189944
01269,2019,6515,21398.402148887184
01283,2004,17657,14838.202129467067
01283,2005,17795,15229.047513346446
01283,2006,17935,15632.464984666853
01283,2007,18464,15996.673608102254
01283,2008,18642,16348.085398562385
01283,2009,18591,16124.862594803937
01283,2010,18660,16753.91530010718
01283,2011,18769,17141.9280196068
01283,2012,18729,18087.348860392023
01283,2013,18712,18583.224099480678
01283,2014,18836,18644.92975580095
01283,2015,18888,18843.447431536406
01283,2016,19077,19090.28023273532
01283,2017,19140,19490.05485893417
01283,2018,19156,20026.54886197536
01283,2019,19406,19982.549211584046
01289,2004,6810,17440.56086637298
01289,2005,6858,17909.649897929427
01289,2006,6974,18507.39267278463
01289,2007,7222,19189.83141788978
01289,2008,7290,19820.111659807957
01289,2009,7417,19990.548604557098
01289,2010,7493,20510.397037234754
01289,2011,7610,21187.00223390276
01289,2012,7700,21570.32686654028
01289,2013,7867,21853.67832218044
01289,2014,7958,22046.996836485276
01289,2015,8111,22440.015285983896
01289,2016,8224,22497.53171431155
01289,2017,8309,22801.557347454567
01289,2018,8340,23468.64628297362
01289,2019,8456,23677.485808893092
01305,2004,7690,15228.00799739922
01305,2005,7850,15690.586242038216
01305,2006,8014,16163.921449962565
01305,2007,8372,16863.138497372194
01305,2008,8575,17545.302973760932
01305,2009,8764,17720.05739388407
01305,2010,8824,18300.956368993655
01305,2011,8970,18718.667056856186
01305,2012,9000,19595.984931398314
01305,2013,9089,19937.465036479614
01305,2014,9199,20129.404482807695
01305,2015,9282,20418.961064280356
01305,2016,9292,20779.93040654951
01305,2017,9319,21027.31301641807
01305,2018,9326,21684.638644649367
01305,2019,9445,21746.764425622023
01333,2004,2227,18489.241580601705
01333,2005,2232,19106.977150537634
01333,2006,2259,20110.706064630365
01333,2007,2292,20929.336387434552
01333,2008,2353,21629.75393115172
01333,2009,2382,22064.28841309824
01333,2010,2434,22190.53327855382
01333,2011,2450,23155.244081632653
01333,2012,2562,23387.76791065115
01333,2013,2657,23938.383986672157
01333,2014,2745,24108.491813687222
01333,2015,2855,24073.753040613792
01333,2016,2883,24691.66261169747
01333,2017,2901,25114.367459496727
01333,2018,2933,26135.001704739178
01333,2019,2990,26122.3745819398
01344,2004,4161,18751.124969959143
01344,2005,4244,19273.838831291236
01344,2006,4334,19958.662782648822
01344,2007,4489,20515.31098240143
01344,2008,4678,21011.89418554938
