CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
01004;Ambérieu-en-Bugey;9.7
01033;Bellegarde-sur-Valserine;5.9
01034;Belley;9.8
01043;Beynost;7.6
01053;Bourg-en-Bresse;11
01093;Châtillon-sur-Chalaronne;7.4
01134;Crottet;5.4
01143;Divonne-les-Bains;8.5
01160;Ferney-Voltaire;5.7
01173;Gex;5.7
01185;Hauteville-Lompnes;3.1
01194;Jassans-Riottier;7.2
01202;Lagnieu;5.5
01244;Meximieux;6.4
01249;Miribel;6.8
01262;Montluel;5.2
01266;Montrevel-en-Bresse;5.2
01269;Nantua;5.7
01283;Oyonnax;5.4
01289;Péronnas;5.9
01305;Pont-de-Vaux;6.7
01333;Saint-André-de-Corcy;6.7
01344;Saint-Denis-lès-Bourg;7
01348;Saint-Didier-sur-Chalaronne;2.9
01354;Saint-Genis-Pouilly;4
01419;Thoiry;3.3
01427;Trévoux;8.5
01443;Villars-les-Dombes;10.1
01451;Viriat;5.8
01457;Vonnas;2.6
02018;Anizy-le-Château;3.7
02095;Bohain-en-Vermandois;6.2
02141;La Capelle;7
02163;Charly-sur-Marne;3.4
02168;Château-Thierry;6.8
02173;Chauny;6.4
02305;Fère-en-Tardenois;4.2
02340;Gauchy;4.5
02361;Guise;6.1
02381;Hirson;8.6
02408;Laon;6.4
02468;Marle;3.4
02558;Le Nouvion-en-Thiérache;7.4
02691;Saint-Quentin;10
02722;Soissons;7.5
02738;Tergnier;5.5
02789;Vervins;6.5
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;4.5
03023;Bellerive-sur-Allier;6.8
03036;Bourbon-l'Archambault;11.5
03082;Commentry;8.1
03084;Cosne-d'Allier;7.2
03095;Cusset;6.3
03101;Domérat;6.2
03102;Dompierre-sur-Besbre;8.9
03118;Gannat;6.9
03138;Lapalisse;7.3
03165;Le Mayet-de-Montagne;8.1
03185;Montluçon;9.4
03186;Montmarault;6.4
03190;Moulins;9.1
03236;Saint-Germain-des-Fossés;8.6
03254;Saint-Pourçain-sur-Sioule;7
03298;Varennes-sur-Allier;2.3
03310;Vichy;13
03321;Yzeure;5.6
04019;Barcelonnette;17.2
04039;Castellane;9.9
04049;Château-Arnoux-Saint-Auban;10.3
04070;Digne-les-Bains;10
04088;Forcalquier;11.2
04094;Gréoux-les-Bains;29.8
04112;Manosque;11.5
04143;Oraison;5.5
04166;Riez;9.5
04173;Saint-André-les-Alpes;10.8
04209;Sisteron;8.1
05006;L'Argentière-la-Bessée;6
05023;Briançon;11.2
05046;Embrun;14.5
05061;Gap;11.3
05065;Guillestre;13.7
05070;Laragne-Montéglin;5.7
05132;Saint-Bonnet-en-Champsaur;18.1
05179;Veynes;12.2
06004;Antibes;12.3
06011;Beaulieu-sur-Mer;11.4
06012;Beausoleil;14.6
06018;Biot;9.2
06027;Cagnes-sur-Mer;10.9
06029;Cannes;13.5
06030;Le Cannet;13.3
06033;Carros;5.5
06044;La Colle-sur-Loup;9.8
06048;Contes;8.3
06065;La Gaude;2.9
06069;Grasse;9.1
06079;Mandelieu-la-Napoule;11.9
06083;Menton;9.2
06084;Mouans-Sartoux;13.1
06085;Mougins;11.3
06088;Nice;13.6
06090;Pégomas;7.1
06095;Peymeinade;8.7
06099;Puget-Théniers;9
06104;Roquebrune-Cap-Martin;8.4
06105;Roquefort-les-Pins;11.1
06123;Saint-Laurent-du-Var;15.4
06130;Saint-Vallier-de-Thiey;6
06149;La Trinité;7.5
06152;Valbonne;18.9
06155;Vallauris;6.3
06157;Vence;12.3
06159;Villefranche-sur-Mer;15.8
06161;Villeneuve-Loubet;6.3
06163;Tende;0
07010;Annonay;7.2
07019;Aubenas;8.4
07042;Bourg-Saint-Andéol;9.2
07064;Le Cheylard;7.7
07102;Guilherand-Granges;19.5
07110;Joyeuse;10.2
07129;Lamastre;5.9
07132;Largentière;4.3
07186;Privas;7
07201;Ruoms;11.1
07204;Saint-Agrève;8.6
07281;Saint-Péray;9.4
07319;Le Teil;8.4
07324;Tournon-sur-Rhône;6.8
07330;Vallon-Pont-d'Arc;9.5
07331;Vals-les-Bains;11.6
07334;Les Vans;10.9
07338;Vernoux-en-Vivarais;8.5
07349;La Voulte-sur-Rhône;7.5
08090;Carignan;7.4
08105;Charleville-Mézières;8.7
08185;Fumay;6.6
08190;Givet;7
08302;Monthermé;5.3
08328;Nouzonville;6.8
08362;Rethel;7.7
08363;Revin;4.2
08367;Rocroi;8.4
08409;Sedan;7.2
08490;Vouziers;10.5
08491;Vrigne aux Bois;11.1
09032;Ax-les-Thermes;12.6
09122;Foix;10.9
09160;Lavelanet;6.3
09167;Lézat-sur-Lèze;15.8
09185;Mazères;11.2
09194;Mirepoix;5.3
09225;Pamiers;10
09261;Saint-Girons;7.1
09282;Saverdun;4.2
09306;Tarascon-sur-Ariège;10.9
10003;Aix-Villemaur-Pâlis;5.9
10006;Arcis-sur-Aube;6.4
10033;Bar-sur-Aube;3.3
10034;Bar-sur-Seine;5
10064;Brienne-le-Château;6.2
10081;La Chapelle-Saint-Luc;7.1
10268;Nogent-sur-Seine;3.6
10323;Romilly-sur-Seine;5.4
10333;Saint-André-les-Vergers;7.1
10343;Saint-Julien-les-Villas;5.1
10362;Sainte-Savine;6.6
10387;Troyes;8.7
11049;Bram;8.5
11069;Carcassonne;8.8
11076;Castelnaudary;5.9
11106;Coursan;9.9
11129;Espéraza;9.1
11202;Leucate;7.3
11203;Lézignan-Corbières;6.7
11206;Limoux;7.5
11262;Narbonne;11.6
11266;Port-la-Nouvelle;0
11304;Quillan;8.9
11315;Rieux-Minervois;9.6
11379;Sigean;12.2
11397;Trèbes;10.6
12033;Bozouls;8.8
12056;Baraqueville;5.4
12089;Decazeville;7
12094;Entraygues-sur-Truyère;9.6
12096;Espalion;10.8
