CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2021
01004;Ambérieu-en-Bugey;9.3
01033;Bellegarde-sur-Valserine;5.6
01034;Belley;10.4
01043;Beynost;8.1
01053;Bourg-en-Bresse;10.6
01093;Châtillon-sur-Chalaronne;7.4
01134;Crottet;5.4
01143;Divonne-les-Bains;9.3
01160;Ferney-Voltaire;4.7
01173;Gex;5.3
01185;Hauteville-Lompnes;3.1
01194;Jassans-Riottier;7.1
01202;Lagnieu;5.5
01244;Meximieux;7.8
01249;Miribel;8.4
01262;Montluel;5.2
01266;Montrevel-en-Bresse;5.1
01269;Nantua;5.7
01283;Oyonnax;5.4
01289;Péronnas;5.3
01305;Pont-de-Vaux;6.2
01333;Saint-André-de-Corcy;6.7
01344;Saint-Denis-lès-Bourg;6.2
01348;Saint-Didier-sur-Chalaronne;3.9
01354;Saint-Genis-Pouilly;3.3
01419;Thoiry;3.9
01427;Trévoux;8.5
01443;Villars-les-Dombes;11
01451;Viriat;6.5
01457;Vonnas;2.6
02018;Anizy-le-Château;3.7
02095;Bohain-en-Vermandois;5.7
02141;La Capelle;7
02163;Charly-sur-Marne;3.4
02168;Château-Thierry;6.6
02173;Chauny;6.8
02305;Fère-en-Tardenois;4.2
02340;Gauchy;5
02361;Guise;6.9
02381;Hirson;8
02408;Laon;6.1
02468;Marle;3.4
02558;Le Nouvion-en-Thiérache;7.5
02691;Saint-Quentin;9.9
02722;Soissons;7
02738;Tergnier;5.5
02789;Vervins;6.5
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;4.6
03023;Bellerive-sur-Allier;6.3
03036;Bourbon-l'Archambault;11.5
03082;Commentry;8.1
03084;Cosne-d'Allier;7.2
03095;Cusset;7.4
03101;Domérat;5.3
03102;Dompierre-sur-Besbre;9
03118;Gannat;6.9
03138;Lapalisse;5.7
03165;Le Mayet-de-Montagne;8.2
03185;Montluçon;8.7
03186;Montmarault;6.4
03190;Moulins;8.6
03236;Saint-Germain-des-Fossés;8.5
03254;Saint-Pourçain-sur-Sioule;7
03298;Varennes-sur-Allier;2.3
03310;Vichy;11.5
03321;Yzeure;5.7
04019;Barcelonnette;17.4
04039;Castellane;9.9
04049;Château-Arnoux-Saint-Auban;10.9
04070;Digne-les-Bains;8.8
04088;Forcalquier;11.2
04094;Gréoux-les-Bains;29.7
04112;Manosque;11.1
04143;Oraison;5.5
04166;Riez;9.6
04173;Saint-André-les-Alpes;10.8
04209;Sisteron;7.5
05006;L'Argentière-la-Bessée;7.6
05023;Briançon;11.1
05046;Embrun;15
05061;Gap;11.2
05065;Guillestre;16.3
05070;Laragne-Montéglin;4.8
05132;Saint-Bonnet-en-Champsaur;18.8
05179;Veynes;11.4
06004;Antibes;12.7
06011;Beaulieu-sur-Mer;11.4
06012;Beausoleil;13.4
06018;Biot;9.3
06027;Cagnes-sur-Mer;11.9
06029;Cannes;13
06030;Le Cannet;12.4
06033;Carros;5.7
06044;La Colle-sur-Loup;9.9
06048;Contes;9.3
06065;La Gaude;2.9
06069;Grasse;9.1
06079;Mandelieu-la-Napoule;13
06083;Menton;8.8
06084;Mouans-Sartoux;14.2
06085;Mougins;10.5
06088;Nice;13.1
06090;Pégomas;8.8
06095;Peymeinade;8.7
06099;Puget-Théniers;9.1
06104;Roquebrune-Cap-Martin;8.4
06105;Roquefort-les-Pins;10.8
06123;Saint-Laurent-du-Var;15.1
06130;Saint-Vallier-de-Thiey;7.9
06149;La Trinité;7.8
06152;Valbonne;20
06155;Vallauris;6.6
06157;Vence;12.1
06159;Villefranche-sur-Mer;15.9
06161;Villeneuve-Loubet;6.1
06163;Tende;2.7
07010;Annonay;5.9
07019;Aubenas;7.7
07042;Bourg-Saint-Andéol;8.4
07064;Le Cheylard;7.8
07102;Guilherand-Granges;18.6
07110;Joyeuse;8.6
07129;Lamastre;7.8
07132;Largentière;4.3
