Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taille moyenne des ménages 2018
01001;L'Abergement-Clémenciat;2.5
01002;L'Abergement-de-Varey;2.4
01004;Ambérieu-en-Bugey;2.1
01005;Ambérieux-en-Dombes;2.4
01006;Ambléon;2.1
01007;Ambronay;2.4
01008;Ambutrix;2.3
01009;Andert-et-Condon;2.2
01010;Anglefort;2.4
01011;Apremont;2.5
01012;Aranc;2.2
01013;Arandas;2.3
01014;Arbent;2.4
01015;Arboys en Bugey;2.2
01016;Arbigny;2.5
01017;Argis;2.3
01019;Armix;2
01021;Ars-sur-Formans;2.5
01022;Artemare;2.1
01023;Asnières-sur-Saône;2.2
01024;Attignat;2.4
01025;Bâgé-Dommartin;2.5
01026;Bâgé-le-Châtel;2.1
01027;Balan;2.7
01028;Baneins;2.5
01029;Beaupont;2.3
01030;Beauregard;2.3
01031;Bellignat;2.2
01032;Béligneux;2.7
01033;Valserhône;2.3
01034;Belley;2.1
01035;Belleydoux;2.1
01036;Valromey-sur-Séran;2.2
01037;Bénonces;2.2
01038;Bény;2.4
01039;Béon;2.2
01040;Béréziat;2.5
01041;Bettant;2.3
01042;Bey;2.5
01043;Beynost;2.5
01044;Billiat;2.4
01045;Birieux;2.8
01046;Biziat;2.6
01047;Blyes;2.6
01049;La Boisse;2.6
01050;Boissey;2.7
01051;Bolozon;2
01052;Bouligneux;2.4
01053;Bourg-en-Bresse;1.9
01054;Bourg-Saint-Christophe;2.6
01056;Boyeux-Saint-Jérôme;2.3
01057;Boz;2.3
01058;Brégnier-Cordon;2.3
01060;Brénod;2.1
01061;Brens;2.4
01062;Bressolles;2.6
01063;Brion;2.3
01064;Briord;2.3
01065;Buellas;2.4
01066;La Burbanche;2.2
01067;Ceignes;2.4
01068;Cerdon;2.2
01069;Certines;2.3
01071;Cessy;2.4
01072;Ceyzériat;2.3
01073;Ceyzérieu;2.2
01074;Chalamont;2.3
01075;Chaleins;2.5
01076;Chaley;1.9
01077;Challes-la-Montagne;2
01078;Challex;2.4
01079;Champagne-en-Valromey;2.2
01080;Champdor-Corcelles;2.3
01081;Champfromier;2.1
01082;Chanay;2.4
01083;Chaneins;2.6
01084;Chanoz-Châtenay;2.6
01085;La Chapelle-du-Châtelard;2.6
01087;Charix;2.3
01088;Charnoz-sur-Ain;2.5
01089;Château-Gaillard;2.6
01090;Châtenay;2.3
01092;Châtillon-la-Palud;2.5
01093;Châtillon-sur-Chalaronne;2.1
01094;Chavannes-sur-Reyssouze;2.4
01095;Nivigne et Suran;2.4
01096;Chaveyriat;2.5
01098;Chazey-Bons;2.4
01099;Chazey-sur-Ain;2.3
01100;Cheignieu-la-Balme;1.8
01101;Chevillard;2.2
01102;Chevroux;2.6
01103;Chevry;2.5
01104;Chézery-Forens;2.3
01105;Civrieux;2.6
01106;Cize;2.2
01107;Cleyzieu;2.1
01108;Coligny;2.1
01109;Collonges;2.5
01110;Colomieu;2.2
01111;Conand;2.3
01112;Condamine;2.6
01113;Condeissiat;2.4
01114;Confort;2.5
01115;Confrançon;2.4
01116;Contrevoz;2.2
01117;Conzieu;2.6
01118;Corbonod;2.3
01121;Corlier;2.4
01123;Cormoranche-sur-Saône;2.6
01124;Cormoz;2.2
01125;Corveissiat;2.2
01127;Courmangoux;2.2
01128;Courtes;2.2
01129;Crans;2.5
01130;Bresse Vallons;2.6
01133;Cressin-Rochefort;2.3
01134;Crottet;2.4
01135;Crozet;2.5
01136;Cruzilles-lès-Mépillat;2.6
01138;Culoz;2.2
01139;Curciat-Dongalon;2.1
01140;Curtafond;2.5
01141;Cuzieu;2.5
01142;Dagneux;2.6
01143;Divonne-les-Bains;2.2
01145;Dompierre-sur-Veyle;2.4
01146;Dompierre-sur-Chalaronne;2.7
01147;Domsure;2.4
01148;Dortan;2.3
01149;Douvres;2.4
01150;Drom;2.3
01151;Druillat;2.3
01152;Échallon;2.4
01153;Échenevex;2.7
01155;Évosges;2
01156;Faramans;2.7
01157;Fareins;2.5
01158;Farges;2.4
01159;Feillens;2.3
01160;Ferney-Voltaire;2.1
01162;Flaxieu;2.5
01163;Foissiat;2.3
01165;Francheleins;2.7
01166;Frans;2.5
01167;Garnerans;2.5
01169;Genouilleux;2.6
01170;Béard-Géovreissiat;2.8
01171;Géovreisset;2.6
01173;Gex;2.2
01174;Giron;2.3
01175;Gorrevod;2.3
01177;Grand-Corent;2.2
01179;Grièges;2.2
01180;Grilly;2.5
01181;Groissiat;2.6
01183;Guéreins;2.6
01184;Hautecourt-Romanèche;2.2
01185;Plateau d'Hauteville;1.9
01187;Haut Valromey;2
01188;Illiat;2.7
01189;Injoux-Génissiat;2.4
01190;Innimond;2.2
01191;Izenave;2.2
01192;Izernore;2.4
01193;Izieu;2.2
01194;Jassans-Riottier;2.3
01195;Jasseron;2.5
01196;Jayat;2.7
01197;Journans;2.2
01198;Joyeux;2.7
01199;Jujurieux;2.2
01200;Labalme;2.3
01202;Lagnieu;2.2
01203;Laiz;2.5
01204;Le Poizat-Lalleyriat;2.5
01206;Lantenay;2.4
01207;Lapeyrouse;2.6
01208;Lavours;2
01209;Léaz;2.6
01210;Lélex;2
01211;Lent;2.3
01212;Lescheroux;2.5
01213;Leyment;2.6
01214;Leyssard;2.1
01215;Surjoux-Lhopital;2.2
01216;Lhuis;2.3
01219;Lompnas;2.1
01224;Loyettes;2.6
01225;Lurcy;2.5
01227;Magnieu;2.3
01228;Maillat;2.4
01229;Malafretaz;2.3
01230;Mantenay-Montlin;2.2
01231;Manziat;2.4
01232;Marboz;2.3
01233;Marchamp;2.1
01234;Marignieu;2.2
01235;Marlieux;2.4
01236;Marsonnas;2.4
01237;Martignat;2.6
01238;Massieux;2.5
01239;Massignieu-de-Rives;2.4
01240;Matafelon-Granges;2.3
01241;Meillonnas;2.2
01242;Mérignat;2.2
01243;Messimy-sur-Saône;2.5
01244;Meximieux;2.3
01245;Bohas-Meyriat-Rignat;2.4
01246;Mézériat;2.4
01247;Mijoux;2.1
01248;Mionnay;2.5
01249;Miribel;2.3
01250;Misérieux;2.7
01252;Mogneneins;2.5
01254;Montagnat;2.5
01255;Montagnieu;2.4
01257;Montanges;2.3
01258;Montceaux;2.6
01259;Montcet;2.6
01260;Le Montellier;2.7
01261;Monthieux;2.6
01262;Montluel;2.3
01263;Montmerle-sur-Saône;2.3
01264;Montracol;2.5
01265;Montréal-la-Cluse;2.3
01266;Montrevel-en-Bresse;2
01267;Nurieux-Volognat;2.5
01268;Murs-et-Gélignieux;2.3
01269;Nantua;2.2
01272;Neuville-les-Dames;2.2
01273;Neuville-sur-Ain;2.5
01274;Les Neyrolles;2.5
01275;Neyron;2.5
01276;Niévroz;2.8
01277;Nivollet-Montgriffon;2
01279;Oncieu;1.9
01280;Ordonnaz;2
01281;Ornex;2.4
01282;Outriaz;2.3
01283;Oyonnax;2.3
01284;Ozan;2.5
01285;Parcieux;2.7
01286;Parves et Nattages;2.3
01288;Péron;2.4
01289;Péronnas;2.1
01290;Pérouges;2.3
01291;Perrex;2.4
01293;Peyriat;2.4
01294;Peyrieu;2.3
01295;Peyzieux-sur-Saône;3
01296;Pirajoux;2.4
01297;Pizay;2.7
01298;Plagne;2.6
01299;Le Plantay;2.6
01301;Polliat;2.3
01302;Pollieu;2.2
01303;Poncin;2.2
01304;Pont-d'Ain;2.3
01305;Pont-de-Vaux;1.8
01306;Pont-de-Veyle;2
01307;Port;2.3
01308;Pougny;2.4
01309;Pouillat;2.2
01310;Prémeyzel;2.5
01311;Prémillieu;2.1
01313;Prévessin-Moëns;2.4
01314;Priay;2.4
01317;Ramasse;2.4
01318;Rancé;2.9
01319;Relevant;2.5
01320;Replonges;2.4
01321;Revonnas;2.6
01322;Reyrieux;2.6
01323;Reyssouze;2.4
01325;Rignieux-le-Franc;2.5
01328;Romans;2.5
01329;Rossillon;1.9
01330;Ruffieu;2.2
01331;Saint-Alban;2.3
01332;Saint-André-de-Bâgé;2.5
01333;Saint-André-de-Corcy;2.4
01334;Saint-André-d'Huiriat;2.7
01335;Saint-André-le-Bouchoux;2.9
01336;Saint-André-sur-Vieux-Jonc;2.4
01337;Saint-Bénigne;2.5
01338;Groslée-Saint-Benoit;2.4
01339;Saint-Bernard;2.5
01342;Sainte-Croix;2.7
01343;Saint-Cyr-sur-Menthon;2.5
01344;Saint-Denis-lès-Bourg;2.2
01345;Saint-Denis-en-Bugey;2.3
01346;Saint-Didier-d'Aussiat;2.4
01347;Saint-Didier-de-Formans;2.6
01348;Saint-Didier-sur-Chalaronne;2.4
01349;Saint-Éloi;2.5
01350;Saint-Étienne-du-Bois;2.3
01351;Saint-Étienne-sur-Chalaronne;2.7
01352;Saint-Étienne-sur-Reyssouze;2.5
01353;Sainte-Euphémie;2.7
01354;Saint-Genis-Pouilly;2.4
01355;Saint-Genis-sur-Menthon;2.4
01356;Saint-Georges-sur-Renon;2.6
